start_time,from,to,duration,region,position
2018-01-05 20:40:42,4613943026031,7092925337073,212,MO,-102.624044|-83.2583145
2018-01-10 08:42:26,6318445276783,6446060431315,407,MO,103.128997|-46.402324
2018-01-10 13:36:47,2729575725083,3733711618340,587,FL,3.997002|-11.929320
2018-01-05 01:05:39,5037140364992,3138803984676,593,TN,81.649266|-31.605795
2018-01-02 07:25:13,4513878703051,1402748450482,146,AZ,45.641074|75.4749745
2018-01-05 09:11:40,4265681465978,9853129136805,329,TX,-164.114488|-51.4420175
2018-01-07 09:36:38,8501972024163,2707642915573,144,OH,24.806850|-76.2097135
2018-01-05 16:35:13,2878446310056,7939439999685,358,MH,-81.478359|-21.830680
2018-01-02 09:00:48,2860610734736,3962948457503,396,ME,-87.271113|57.634079
2018-01-09 01:35:42,5828856079380,5668605003045,537,WA,-21.785822|-20.048694
2018-01-01 01:08:08,2873475670185,9869323163656,367,CA,-146.052201|-85.8770835
2018-01-03 07:06:22,6970231833174,2823046174093,113,AZ,167.640102|-77.599805
2018-01-07 08:27:34,2993444640382,6383905560645,88,MS,-168.829585|27.407489
2018-01-11 00:55:23,8372695291890,4567157242415,413,HI,-40.818210|24.5480815
2018-01-05 01:25:48,2204416847997,9095285825315,173,KY,108.873594|5.2253755
2018-01-04 04:09:00,2146294901441,2865718886438,78,VI,-55.656773|-77.2199215
2018-01-08 18:49:55,4644224805716,1897374255215,498,CT,-150.805213|-68.4920835
2018-01-09 16:25:32,4141897634143,7077762067617,326,GU,-31.373004|-67.460494
2018-01-04 10:29:18,1696181165963,5354318307768,70,MH,89.347940|44.105602
2018-01-10 10:10:44,2582045877632,5006382212965,495,DE,-135.909905|68.2567985
2018-01-03 22:25:46,5158734614472,8646948905299,16,AZ,179.859405|19.347404
2018-01-01 23:21:04,3962860593441,3916984192856,375,AR,-166.953747|42.7920335
2018-01-03 11:01:29,3971696279252,1915091597637,343,MD,175.987509|-56.052779
2018-01-05 11:57:34,0263795290684,1919668759048,127,MI,-174.775558|66.7487735
